### LOVD-version 3000-020 ### Full data download ### To import, do not remove or alter this header ###
# charset = UTF-8

## Genes ## Do not remove or alter this header ##
{{id}}	{{name}}	{{chromosome}}	{{chrom_band}}	{{refseq_genomic}}	{{refseq_UD}}	{{id_hgnc}}	{{id_entrez}}	{{id_omim}}
"MRM1"	"mitochondrial rRNA methyltransferase 1"	"17"	"q12"	"NC_000017.10"	"UD_144476838296"	"26202"	"79922"	""
"MRO"	"maestro"	"18"	"q21"	"NC_000018.9"	"UD_144476838471"	"24121"	"83876"	"608080"
"MRPL1"	"mitochondrial ribosomal protein L1"	"4"	"q21.1"	"NC_000004.11"	"UD_144476838824"	"14275"	"65008"	"611821"
"MRPL2"	"mitochondrial ribosomal protein L2"	"6"	"p21.3"	"NC_000006.11"	"UD_144476839038"	"14056"	"51069"	"611822"
"MRPL3"	"mitochondrial ribosomal protein L3"	"3"	"q21-q23"	"NG_029207.1"	"UD_144476839487"	"10379"	"11222"	"607118"
"MRPL9"	"mitochondrial ribosomal protein L9"	"1"	"q21"	"NC_000001.10"	"UD_144476839868"	"14277"	"65005"	"611824"
"MRPL11"	"mitochondrial ribosomal protein L11"	"11"	"q13.2"	"NC_000011.9"	"UD_144476840298"	"14042"	"65003"	"611826"
"MRPL12"	"mitochondrial ribosomal protein L12"	"17"	"q25"	"NC_000017.10"	"UD_144476840510"	"10378"	"6182"	"602375"
"MRPL13"	"mitochondrial ribosomal protein L13"	"8"	"q22.1-q22.3"	"NC_000008.10"	"UD_144476840650"	"14278"	"28998"	"610200"
"MRPL14"	"mitochondrial ribosomal protein L14"	"6"	"p21.3"	"NC_000006.11"	"UD_144476840847"	"14279"	"64928"	"611827"
"MRPL15"	"mitochondrial ribosomal protein L15"	"8"	"q11.2-q13"	"NC_000008.10"	"UD_144476840942"	"14054"	"29088"	"611828"
"MRPL16"	"mitochondrial ribosomal protein L16"	"11"	"q12.1"	"NC_000011.9"	"UD_144476841130"	"14476"	"54948"	"611829"
"MRPL17"	"mitochondrial ribosomal protein L17"	"11"	"p15.5-p15.4"	"NC_000011.9"	"UD_144476841336"	"14053"	"63875"	"611830"
"MRPL18"	"mitochondrial ribosomal protein L18"	"6"	"q25.3"	"NC_000006.11"	"UD_144476841502"	"14477"	"29074"	"611831"
"MRPL19"	"mitochondrial ribosomal protein L19"	"2"	"p11.1-q11.2"	"NC_000002.11"	"UD_144476841724"	"14052"	"9801"	"611832"
"MRPL20"	"mitochondrial ribosomal protein L20"	"1"	"p36.3-p36.2"	"NC_000001.10"	"UD_144476841843"	"14478"	"55052"	"611833"
"MRPL21"	"mitochondrial ribosomal protein L21"	"11"	"q13.3"	"NC_000011.9"	"UD_144476842027"	"14479"	"219927"	"611834"
"MRPL22"	"mitochondrial ribosomal protein L22"	"5"	"q33.2"	"NC_000005.9"	"UD_144476842203"	"14480"	"29093"	"611835"
"MRPL23"	"mitochondrial ribosomal protein L23"	"11"	"p15.5"	"NC_000011.9"	"UD_144476842372"	"10322"	"6150"	"600789"
"MRPL23-AS1"	"MRPL23 antisense RNA 1"	"11"	"p15.5"	"NC_000011.9"	"UD_144476842646"	"42812"	"100133545"	""
"MRPL24"	"mitochondrial ribosomal protein L24"	"1"	"q23.1"	"NC_000001.10"	"UD_144476842902"	"14037"	"79590"	"611836"
"MRPL27"	"mitochondrial ribosomal protein L27"	"17"	"q21.3-q22"	"NC_000017.10"	"UD_144476843206"	"14483"	"51264"	"611837"
"MRPL28"	"mitochondrial ribosomal protein L28"	"16"	"p13.12"	"NC_000016.9"	"UD_144476843362"	"14484"	"10573"	"604853"
"MRPL32"	"mitochondrial ribosomal protein L32"	"7"	"p14"	"NC_000007.13"	"UD_144476843772"	"14035"	"64983"	"611839"
"MRPL33"	"mitochondrial ribosomal protein L33"	"2"	"p21"	"NC_000002.11"	"UD_144476843980"	"14487"	"9553"	"610059"
"MRPL34"	"mitochondrial ribosomal protein L34"	"19"	"p13.1"	"NC_000019.9"	"UD_144476844107"	"14488"	"64981"	"611840"
"MRPL35"	"mitochondrial ribosomal protein L35"	"2"	"p11.2"	"NC_000002.11"	"UD_144476844283"	"14489"	"51318"	"611841"
"MRPL36"	"mitochondrial ribosomal protein L36"	"5"	"p15.3"	"NC_000005.9"	"UD_144476844382"	"14490"	"64979"	"611842"
"MRPL38"	"mitochondrial ribosomal protein L38"	"17"	"q23-q25"	"NC_000017.10"	"UD_144476844722"	"14033"	"64978"	"611844"
"MRPL39"	"mitochondrial ribosomal protein L39"	"21"	"q11.2-q21"	"NC_000021.8"	"UD_144476844881"	"14027"	"54148"	"611845"
"MRPL40"	"mitochondrial ribosomal protein L40"	"22"	"q11.2"	"NC_000022.10"	"UD_144476844968"	"14491"	"64976"	"605089"
"MRPL41"	"mitochondrial ribosomal protein L41"	"9"	"q34.3"	"NC_000009.11"	"UD_144476845126"	"14492"	"64975"	"611846"
"MRPL42"	"mitochondrial ribosomal protein L42"	"12"	"q22"	"NC_000012.11"	"UD_144476845317"	"14493"	"28977"	"611847"
"MRPL42P5"	"mitochondrial ribosomal protein L42 pseudogene 5"	"15"	"q15.1"	"NC_000015.9"	"UD_144476845822"	"29714"	"359821"	""
"MRPL43"	"mitochondrial ribosomal protein L43"	"10"	"q24.31"	"NG_011646.1"	"UD_144476846077"	"14517"	"84545"	"611848"
"MRPL44"	"mitochondrial ribosomal protein L44"	"2"	"p24.3-p24.1"	"NC_000002.11"	"UD_144476846430"	"16650"	"65080"	"611849"
"MRPL45"	"mitochondrial ribosomal protein L45"	"17"	"q21.2"	"NC_000017.10"	"UD_144476846641"	"16651"	"84311"	"611850"
"MRPL45P2"	"mitochondrial ribosomal protein L45 pseudogene 2"	"17"	"q21.32"	"NC_000017.10"	"UD_144476846857"	"29716"	"653479"	""
"MRPL46"	"mitochondrial ribosomal protein L46"	"15"	"q25.3"	"NC_000015.9"	"UD_144476847010"	"1192"	"26589"	"611851"
"MRPL47"	"mitochondrial ribosomal protein L47"	"3"	"q26.33"	"NC_000003.11"	"UD_144476847235"	"16652"	"57129"	"611852"
"MRPL48"	"mitochondrial ribosomal protein L48"	"11"	"q13.4"	"NC_000011.9"	"UD_144476847556"	"16653"	"51642"	"611853"
"MRPL50"	"mitochondrial ribosomal protein L50"	"9"	"q31.1"	"NC_000009.11"	"UD_144476847990"	"16654"	"54534"	"611854"
"MRPL51"	"mitochondrial ribosomal protein L51"	"12"	"p13.3-p13.1"	"NC_000012.11"	"UD_144476848201"	"14044"	"51258"	"611855"
"MRPL52"	"mitochondrial ribosomal protein L52"	"14"	"q11.2"	"NC_000014.8"	"UD_144476848394"	"16655"	"122704"	"611856"
"MRPL54"	"mitochondrial ribosomal protein L54"	"19"	"p13.3"	"NC_000019.9"	"UD_144476848552"	"16685"	"116541"	"611858"
"MRPL55"	"mitochondrial ribosomal protein L55"	"1"	"q42.13"	"NC_000001.10"	"UD_144476848689"	"16686"	"128308"	"611859"
"MRPS5"	"mitochondrial ribosomal protein S5"	"2"	"p11.2-q11.2"	"NC_000002.11"	"UD_144476849389"	"14498"	"64969"	"611972"
"MRPS6"	"mitochondrial ribosomal protein S6"	"21"	"q22.11"	"NC_000021.8"	"UD_144476849696"	"14051"	"64968"	"611973"
"MRPS7"	"mitochondrial ribosomal protein S7"	"17"	"q25.1"	"NC_000017.10"	"UD_144476850078"	"14499"	"51081"	"611974"
"MRPS9"	"mitochondrial ribosomal protein S9"	"2"	"q12.1"	"NC_000002.11"	"UD_144476850203"	"14501"	"64965"	"611975"
"MRPS10"	"mitochondrial ribosomal protein S10"	"6"	"p21.1"	"NC_000006.11"	"UD_144476850439"	"14502"	"55173"	"611976"
"MRPS11"	"mitochondrial ribosomal protein S11"	"15"	"q25"	"NC_000015.9"	"UD_144476850545"	"14050"	"64963"	"611977"
"MRPS12"	"mitochondrial ribosomal protein S12"	"19"	"q13.1-q13.2"	"NG_029222.1"	"UD_144476850732"	"10380"	"6183"	"603021"
"MRPS15"	"mitochondrial ribosomal protein S15"	"1"	"p34.3"	"NC_000001.10"	"UD_144476851196"	"14504"	"64960"	"611979"
"MRPS16"	"mitochondrial ribosomal protein S16"	"10"	"q22.1"	"NG_008096.1"	"UD_144476851402"	"14048"	"51021"	"609204"
"MRPS17"	"mitochondrial ribosomal protein S17"	"7"	"p11-q11.21"	"NC_000007.13"	"UD_144476851515"	"14047"	"51373"	"611980"
"MRPS18A"	"mitochondrial ribosomal protein S18A"	"6"	"p21.3"	"NC_000006.11"	"UD_144476851740"	"14515"	"55168"	"611981"
"MRPS18B"	"mitochondrial ribosomal protein S18B"	"6"	"p21"	"NC_000006.11"	"UD_144476851928"	"14516"	"28973"	"611982"
"MRPS18C"	"mitochondrial ribosomal protein S18C"	"4"	"q21.21-q21.23"	"NC_000004.11"	"UD_144476852207"	"16633"	"51023"	"611983"
"MRPS23"	"mitochondrial ribosomal protein S23"	"17"	"q22-q23"	"NC_000017.10"	"UD_144476852652"	"14509"	"51649"	"611985"
"MRPS24"	"mitochondrial ribosomal protein S24"	"7"	"p14"	"NC_000007.13"	"UD_144476852768"	"14510"	"64951"	"611986"
"MRPS25"	"mitochondrial ribosomal protein S25"	"3"	"p25"	"NC_000003.11"	"UD_144476852964"	"14511"	"64432"	"611987"
"MRPS26"	"mitochondrial ribosomal protein S26"	"20"	"p13"	"NC_000020.10"	"UD_144476853277"	"14045"	"64949"	"611988"
"MRPS27"	"mitochondrial ribosomal protein S27"	"5"	"q13.2"	"NC_000005.9"	"UD_144476853683"	"14512"	"23107"	"611989"
"MRPS28"	"mitochondrial ribosomal protein S28"	"8"	"q21.1-q21.2"	"NC_000008.10"	"UD_144476853956"	"14513"	"28957"	"611990"
"MRPS30"	"mitochondrial ribosomal protein S30"	"5"	"q11"	"NC_000005.9"	"UD_144476854448"	"8769"	"10884"	"611991"
"MRPS31"	"mitochondrial ribosomal protein S31"	"13"	"q14.11"	"NC_000013.10"	"UD_144476854583"	"16632"	"10240"	"611992"
"MRPS33"	"mitochondrial ribosomal protein S33"	"7"	"q34"	"NC_000007.13"	"UD_144476854683"	"16634"	"51650"	"611993"
"MRPS34"	"mitochondrial ribosomal protein S34"	"16"	"p13.3"	"NC_000016.9"	"UD_144476854842"	"16618"	"65993"	"611994"
"MRPS35"	"mitochondrial ribosomal protein S35"	"12"	"p11"	"NC_000012.11"	"UD_144476854966"	"16635"	"60488"	"611995"
"MRPS36"	"mitochondrial ribosomal protein S36"	"5"	"q13.2"	"NC_000005.9"	"UD_144476855083"	"16631"	"92259"	"611996"
"MRRF"	"mitochondrial ribosome recycling factor"	"9"	"q32-q34.1"	"NC_000009.11"	"UD_144476855304"	"7234"	"92399"	"604602"
"MRS2"	"MRS2 magnesium transporter"	"6"	"p22.3-p22.1"	"NC_000006.11"	"UD_144476855682"	"13785"	"57380"	""
"MRS2P2"	"MRS2 pseudogene 2"	"12"	"q21.1"	"NC_000012.11"	"UD_144476856055"	"33942"	"729633"	""
"MRTO4"	"MRT4 homolog, ribosome maturation factor"	"1"	"p36.13"	"NC_000001.10"	"UD_144476856204"	"18477"	"51154"	""
"MRVI1"	"murine retrovirus integration site 1 homolog"	"11"	"p15.4"	"NC_000011.9"	"UD_144476856391"	"7237"	"10335"	"604673"
"MS4A1"	"membrane-spanning 4-domains, subfamily A, member 1"	"11"	"q12.2"	"LRG_140"	"UD_144476857696"	"7315"	"931"	"112210"
"MS4A2"	"membrane-spanning 4-domains, subfamily A, member 2"	"11"	"q12-q13"	"NG_016014.1"	"UD_144476858024"	"7316"	"2206"	"147138"
"MS4A3"	"membrane-spanning 4-domains, subfamily A, member 3 (hematopoietic cell-specific)"	"11"	"q12-q13.1"	"NC_000011.9"	"UD_144476858237"	"7317"	"932"	"606498"
"MS4A4A"	"membrane-spanning 4-domains, subfamily A, member 4A"	"11"	"q12"	"NC_000011.9"	"UD_144476858430"	"13371"	"51338"	"606547"
"MS4A5"	"membrane-spanning 4-domains, subfamily A, member 5"	"11"	"q12"	"NC_000011.9"	"UD_144476858832"	"13374"	"64232"	"606499"
"MS4A6A"	"membrane-spanning 4-domains, subfamily A, member 6A"	"11"	"q12.1"	"NG_033978.1"	"UD_144476859015"	"13375"	"64231"	"606548"
"MS4A6E"	"membrane-spanning 4-domains, subfamily A, member 6E"	"11"	"q12"	"NC_000011.9"	"UD_144476859417"	"14285"	"245802"	"608402"
"MS4A7"	"membrane-spanning 4-domains, subfamily A, member 7"	"11"	"q12"	"NC_000011.9"	"UD_144476859624"	"13378"	"58475"	"606502"
"MS4A12"	"membrane-spanning 4-domains, subfamily A, member 12"	"11"	"q12"	"NC_000011.9"	"UD_144476860019"	"13370"	"54860"	"606550"
"MS4A13"	"membrane-spanning 4-domains, subfamily A, member 13"	"11"	"q12.2"	"NC_000011.9"	"UD_144476860231"	"16674"	"503497"	""
"MSANTD1"	"Myb/SANT-like DNA-binding domain containing 1"	"4"	"p16.2"	"NC_000004.11"	"UD_144476861228"	"33741"	"345222"	""
"MSANTD2"	"Myb/SANT-like DNA-binding domain containing 2"	"11"	"q24.2"	"NC_000011.9"	"UD_144476861445"	"26266"	"79684"	""
"MSANTD3"	"Myb/SANT-like DNA-binding domain containing 3"	"9"	"q31.1"	"NC_000009.11"	"UD_144476861811"	"23370"	"91283"	""
"MSANTD3-TMEFF1"	"MSANTD3-TMEFF1 readthrough"	"9"	"q31.1"	"NC_000009.11"	"UD_144476862062"	"38838"	"100526694"	""
"MSANTD4"	"Myb/SANT-like DNA-binding domain containing 4 with coiled-coils"	"11"	"q22"	"NC_000011.9"	"UD_144476862442"	"29383"	"84437"	""
"MSC"	"musculin"	"8"	"q13.3"	"NC_000008.10"	"UD_144476862601"	"7321"	"9242"	"603628"
"MSGN1"	"mesogenin 1"	"2"	"p24.2"	"NC_000002.11"	"UD_144476862665"	"14907"	"343930"	"612209"
"MSH2"	"mutS homolog 2"	"2"	"p21"	"LRG_218"	"UD_144310396628"	"7325"	"4436"	"609309"
"MSH5"	"mutS homolog 5"	"6"	"p21.3"	"NG_011611.1"	"UD_144476862924"	"7328"	"4439"	"603382"
"MSH6"	"mutS homolog 6"	"2"	"p16"	"LRG_219"	"UD_144476863758"	"7329"	"2956"	"600678"
"MSI1"	"musashi RNA-binding protein 1"	"12"	"q24"	"NC_000012.11"	"UD_144476863879"	"7330"	"4440"	"603328"
"MSI2"	"musashi RNA-binding protein 2"	"17"	"q23.2"	"NC_000017.10"	"UD_144476864155"	"18585"	""	"607897"
"MSL1"	"male-specific lethal 1 homolog (Drosophila)"	"17"	"q21.1"	"NC_000017.10"	"UD_144476864709"	"27905"	"339287"	"614801"
"MSL3"	"male-specific lethal 3 homolog (Drosophila)"	"X"	"p22.3"	"NG_012564.1"	"UD_144476864827"	"7370"	"10943"	"300609"
"MSL3P1"	"male-specific lethal 3 homolog (Drosophila) pseudogene 1"	"2"	"q37.1"	"NC_000002.11"	"UD_144476864963"	"17837"	"151507"	""
"MSMB"	"microseminoprotein, beta-"	"10"	"q11.2"	"NG_011551.1"	"UD_144476865225"	"7372"	"4477"	"157145"
"MSMO1"	"methylsterol monooxygenase 1"	"4"	"q32-q34"	"NG_042288.1"	"UD_144476865386"	"10545"	"6307"	"607545"
"MSMP"	"microseminoprotein, prostate associated"	"9"	"p13.3"	"NC_000009.11"	"UD_144476865491"	"29663"	"692094"	"612191"
"MSN"	"moesin"	"X"	"q11.1"	"NG_012516.1"	"UD_144476865623"	"7373"	"4478"	"309845"
"MSR1"	"macrophage scavenger receptor 1"	"8"	"p22"	"NG_012102.1"	"UD_144476865771"	"7376"	""	"153622"
"MSRA"	"methionine sulfoxide reductase A"	"8"	"p23.1"	"NC_000008.10"	"UD_144476866006"	"7377"	"4482"	"601250"
"MSRB2"	"methionine sulfoxide reductase B2"	"10"	"p12"	"NC_000010.10"	"UD_144476866152"	"17061"	"22921"	"613782"
"MSRB3"	"methionine sulfoxide reductase B3"	"12"	"q14.3"	"NG_023441.1"	"UD_144476866376"	"27375"	"253827"	"613719"
"MSS51"	"MSS51 mitochondrial translational activator"	"10"	"q22.3"	"NC_000010.10"	"UD_144476866608"	"21000"	"118490"	"614773"
"MST1"	"macrophage stimulating 1"	"3"	"p21"	"NG_016454.1"	"UD_144476866917"	"7380"	"4485"	"142408"
"MSTN"	"myostatin"	"2"	"q32.1"	"LRG_200"	"UD_144476867279"	"4223"	"2660"	"601788"
"MSTO2P"	"misato family member 2, pseudogene"	"1"	"q22"	"NC_000001.10"	"UD_144476867660"	"26329"	"100129405"	""
"MSX1"	"msh homeobox 1"	"4"	"p16.2"	"NG_008121.1"	"UD_144476867795"	"7391"	"4487"	"142983"
"MSX2"	"msh homeobox 2"	"5"	"q35.2"	"NG_008124.1"	"UD_144476867902"	"7392"	"4488"	"123101"
"MSX2P1"	"msh homeobox 2 pseudogene 1"	"17"	"q23.2"	"NC_000017.10"	"UD_144476868108"	"24976"	"55545"	""
"MT1A"	"metallothionein 1A"	"16"	"q13"	"NC_000016.9"	"UD_144476868330"	"7393"	"4489"	"156350"
"MT1B"	"metallothionein 1B"	"16"	"q13"	"NC_000016.9"	"UD_144476868548"	"7394"	"4490"	"156349"
"MT1E"	"metallothionein 1E"	"16"	"q13"	"NC_000016.9"	"UD_144476868871"	"7397"	"4493"	"156351"
"MT1F"	"metallothionein 1F"	"16"	"q13"	"NC_000016.9"	"UD_144476869025"	"7398"	"4494"	"156352"
"MT1G"	"metallothionein 1G"	"16"	"q13"	"NC_000016.9"	"UD_144476869180"	"7399"	"4495"	"156353"
"MT1H"	"metallothionein 1H"	"16"	"q13"	"NC_000016.9"	"UD_144476869384"	"7400"	"4496"	"156354"
"MT1IP"	"metallothionein 1I, pseudogene"	"16"	"q13"	"NC_000016.9"	"UD_144476869539"	"7401"	"644314"	"156355"
"MT1JP"	"metallothionein 1J, pseudogene"	"16"	"q12.2"	"NC_000016.9"	"UD_144476869745"	"7402"	"4498"	"156356"
"MT1M"	"metallothionein 1M"	"16"	"q13"	"NG_030326.1"	"UD_144476870044"	"14296"	"4499"	"156357"
"MT1X"	"metallothionein 1X"	"16"	"q13"	"NC_000016.9"	"UD_144476870168"	"7405"	"4501"	"156359"
"MT2A"	"metallothionein 2A"	"16"	"q13"	"NC_000016.9"	"UD_144476870317"	"7406"	"4502"	"156360"
"MT3"	"metallothionein 3"	"16"	"q13"	"NC_000016.9"	"UD_144476870471"	"7408"	"4504"	"139255"
"MT4"	"metallothionein 4"	"16"	"q13"	"NC_000016.9"	"UD_144476870620"	"18705"	"84560"	"606206"
"MTA1"	"metastasis associated 1"	"14"	"q32.33"	"NG_029515.1"	"UD_144476870860"	"7410"	"9112"	"603526"
"MTA2"	"metastasis associated 1 family, member 2"	"11"	"q12-q13.1"	"NC_000011.9"	"UD_144476871576"	"7411"	"9219"	"603947"
"MTA3"	"metastasis associated 1 family, member 3"	"2"	"p22.1"	"NC_000002.11"	"UD_144476871773"	"23784"	"57504"	"609050"
"MTAP"	"methylthioadenosine phosphorylase"	"9"	"p21"	"NG_032650.1"	"UD_144476872253"	"7413"	"4507"	"156540"
"MTBP"	"MDM2 binding protein"	"8"	"q24.1-q24.2"	"NG_033151.1"	"UD_144476872733"	"7417"	"27085"	"605927"
"MTCH2"	"mitochondrial carrier 2"	"11"	"p11.2"	"NC_000011.9"	"UD_144476873183"	"17587"	"23788"	"613221"
"MTCP1"	"mature T-cell proliferation 1"	"X"	"q28"	"NG_029506.1"	"UD_144476873404"	"7423"	"4515"	"300116"
"MTDH"	"metadherin"	"8"	"q22.1"	"NC_000008.10"	"UD_144476873591"	"29608"	"92140"	"610323"
"MTF2"	"metal response element binding transcription factor 2"	"1"	"p22.1"	"NC_000001.10"	"UD_144476873957"	"29535"	"22823"	"609882"
"MTFMT"	"mitochondrial methionyl-tRNA formyltransferase"	"15"	"q22.31"	"NG_029184.1"	"UD_144476874261"	"29666"	"123263"	"611766"
"MTFP1"	"mitochondrial fission process 1"	"22"	"q"	"NC_000022.10"	"UD_144476874396"	"26945"	"51537"	"610235"
"MTFR1"	"mitochondrial fission regulator 1"	"8"	"q13.1"	"NC_000008.10"	"UD_144476874572"	"29510"	"9650"	""
"MTG1"	"mitochondrial ribosome-associated GTPase 1"	"10"	"q26.3"	"NC_000010.10"	"UD_144476874743"	"32159"	"92170"	""
"MTHFD1"	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase"	"14"	"q24"	"NG_012450.1"	"UD_144476875191"	"7432"	"4522"	"172460"
"MTHFD1L"	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like"	"6"	"q25.1"	"NG_029185.1"	"UD_144476875484"	"21055"	"25902"	"611427"
"MTHFD2L"	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like"	"4"	"q13.3"	"NC_000004.11"	"UD_144476875781"	"31865"	"441024"	"614047"
"MTHFR"	"methylenetetrahydrofolate reductase (NAD(P)H)"	"1"	"p36.3"	"LRG_726"	"UD_144476876014"	"7436"	"4524"	"607093"
"MTHFSD"	"methenyltetrahydrofolate synthetase domain containing"	"16"	"q24.1"	"NC_000016.9"	"UD_144476876457"	"25778"	"64779"	""
"MTIF3"	"mitochondrial translational initiation factor 3"	"13"	"q12.2"	"NC_000013.10"	"UD_144476877460"	"29788"	"219402"	""
"MTM1"	"myotubularin 1"	"X"	"q28"	"LRG_839"	"UD_144476877579"	"7448"	"4534"	"300415"
"MTMR1"	"myotubularin related protein 1"	"X"	"q28"	"NG_012551.1"	"UD_144476877876"	"7449"	"8776"	"300171"
"MTMR2"	"myotubularin related protein 2"	"11"	"q22"	"LRG_257"	"UD_144476878339"	"7450"	"8898"	"603557"
"MTMR3"	"myotubularin related protein 3"	"22"	"q12.2"	"NC_000022.10"	"UD_144476878579"	"7451"	"8897"	"603558"
"MTMR4"	"myotubularin related protein 4"	"17"	"q22"	"NC_000017.10"	"UD_144476878826"	"7452"	"9110"	"603559"
"MTMR6"	"myotubularin related protein 6"	"13"	"q12"	"NC_000013.10"	"UD_144476878976"	"7453"	"9107"	"603561"
"MTMR8"	"myotubularin related protein 8"	"X"	"q11.2"	"NG_016567.1"	"UD_144476879263"	"16825"	"55613"	""
"MTMR9"	"myotubularin related protein 9"	"8"	"p23-p22"	"NC_000008.10"	"UD_144476879363"	"14596"	"66036"	"606260"
"MTMR11"	"myotubularin related protein 11"	"1"	"q21.2"	"NC_000001.10"	"UD_144476879859"	"24307"	"10903"	""
"MTMR12"	"myotubularin related protein 12"	"5"	"p15.33"	"NC_000005.9"	"UD_144476879986"	"18191"	"54545"	"606501"
"MTMR14"	"myotubularin related protein 14"	"3"	"p26"	"NG_017068.1"	"UD_144476880453"	"26190"	"64419"	"611089"
"MTNR1A"	"melatonin receptor 1A"	"4"	"q35"	"NC_000004.11"	"UD_144476880685"	"7463"	"4543"	"600665"
"MTO1"	"mitochondrial tRNA translation optimization 1"	"6"	"q14.1"	"NG_032856.1"	"UD_144476880819"	"19261"	"25821"	"614667"
"MTOR-AS1"	"MTOR antisense RNA 1"	"1"	"p36.22"	"NC_000001.10"	"UD_144476880914"	"40242"	""	""
"MTPAP"	"mitochondrial poly(A) polymerase"	"10"	"p12.1"	"NG_028096.1"	"UD_144476881123"	"25532"	"55149"	"613669"
"MTPN"	"myotrophin"	"7"	"q33-q35"	"NC_000007.13"	"UD_144476458057"	"15667"	"136319"	"606484"
"MTR"	"5-methyltetrahydrofolate-homocysteine methyltransferase"	"1"	"q43"	"NG_008959.1"	"UD_144476881375"	"7468"	"4548"	"156570"
"MTRF1"	"mitochondrial translational release factor 1"	"13"	"q14.1-q14.3"	"NC_000013.10"	"UD_144476881873"	"7469"	"9617"	"604601"
"MTRF1L"	"mitochondrial translational release factor 1-like"	"6"	"q25-q26"	"NC_000006.11"	"UD_144476882095"	"21051"	"54516"	"613542"
"MTRNR2L1"	"MT-RNR2-like 1"	"17"	"p11.2"	"NC_000017.10"	"UD_144476882464"	"37155"	"100462977"	""
"MTRNR2L3"	"MT-RNR2-like 3"	"20"	"q13.31"	"NC_000020.10"	"UD_144476882628"	"37157"	"100462983"	""
"MTRNR2L4"	"MT-RNR2-like 4"	"16"	"p13.3"	"NC_000016.9"	"UD_144476882806"	"37161"	"100463285"	""
"MTRNR2L5"	"MT-RNR2-like 5"	"10"	"q21.1"	"NC_000010.10"	"UD_144476883020"	"37162"	"100463289"	""
"MTRNR2L6"	"MT-RNR2-like 6"	"7"	"q34"	"NC_000007.13"	"UD_144476883191"	"37163"	"100463482"	""
"MTRNR2L7"	"MT-RNR2-like 7"	"10"	"p11.21"	"NC_000010.10"	"UD_144476883300"	"37164"	"100288485"	""
"MTRNR2L8"	"MT-RNR2-like 8"	"11"	"p15.4"	"NC_000011.9"	"UD_144476883447"	"37165"	"100463486"	""
"MTRNR2L10"	"MT-RNR2-like 10"	"X"	"p11.21"	"NC_000023.10"	"UD_144476883519"	"37167"	"100463488"	""
"MTRR"	"5-methyltetrahydrofolate-homocysteine methyltransferase reductase"	"5"	"p15.31"	"NG_008856.1"	"UD_144476883636"	"7473"	"4552"	"602568"
"MTSS1"	"metastasis suppressor 1"	"8"	"p22"	"NC_000008.10"	"UD_144476884140"	"20443"	"9788"	"608486"
"MTSS1L"	"metastasis suppressor 1-like"	"16"	"q22.1"	"NC_000016.9"	"UD_144476884712"	"25094"	"92154"	""
"MTTP"	"microsomal triglyceride transfer protein"	"4"	"q24"	"NG_011469.1"	"UD_144476884914"	"7467"	"4547"	"157147"
"MTX1"	"metaxin 1"	"1"	"q21"	"NC_000001.10"	"UD_144476885284"	"7504"	"4580"	"600605"
"MTX3"	"metaxin 3"	"5"	"q14.1"	"NC_000005.9"	"UD_144476885652"	"24812"	"345778"	""
"MUC1"	"mucin 1, cell surface associated"	"1"	"q22"	"NG_029383.1"	"UD_144476885903"	"7508"	"4582"	"158340"
"MUC4"	"mucin 4, cell surface associated"	"3"	"q29"	"NC_000003.11"	"UD_144476887609"	"7514"	"4585"	"158372"
"MUC5B"	"mucin 5B, oligomeric mucus/gel-forming"	"11"	"p15.5"	"NG_031880.1"	"UD_144476890389"	"7516"	"727897"	"600770"
"MUC6"	"mucin 6, oligomeric mucus/gel-forming"	"11"	"p15.5"	"NC_000011.9"	"UD_144476890550"	"7517"	"4588"	"158374"
"MUC12"	"mucin 12, cell surface associated"	"7"	"q22"	"NC_000007.13"	"UD_144476890744"	"7510"	"10071"	"604609"
"MUC13"	"mucin 13, cell surface associated"	"3"	"q21.2"	"NC_000003.11"	"UD_144476890982"	"7511"	"56667"	"612181"
"MUC15"	"mucin 15, cell surface associated"	"11"	"p14.3"	"NC_000011.9"	"UD_144476891215"	"14956"	"143662"	"608566"
"MUC17"	"mucin 17, cell surface associated"	"7"	"q22"	"NC_000007.13"	"UD_144476891418"	"16800"	"140453"	"608424"
"MUC20"	"mucin 20, cell surface associated"	"3"	"q29"	"NG_033877.1"	"UD_144476891631"	"23282"	"200958"	"610360"
"MUC21"	"mucin 21, cell surface associated"	"6"	"p21.33"	"NC_000006.11"	"UD_144476892485"	"21661"	"394263"	""
"MUC22"	"mucin 22"	"6"	"p21.33"	"NC_000006.11"	"UD_144476892760"	"39755"	"100507679"	"613917"
"MUCL1"	"mucin-like 1"	"12"	"q13.2"	"NC_000012.11"	"UD_144476893104"	"30588"	"118430"	"610857"
"MUSK"	"muscle, skeletal, receptor tyrosine kinase"	"9"	"q31.3-q32"	"NG_016016.1"	"UD_144476893422"	"7525"	"4593"	"601296"
"MUSTN1"	"musculoskeletal, embryonic nuclear protein 1"	"3"	"p21.31"	"NC_000003.11"	"UD_144476893619"	"22144"	"389125"	""
